Finnish;English;Finnish (Harrastan);hungarian
uinti;swimming;(Harrastan) uintia. (Harrastan) uimista.;úszás
kilpauinti;competitive swimming;(Harrastan) kilpauintia.;versenyúszás
avantouinti;ice swimming;(Harrastan) avantouintia.;Jégúszás
taitouinti;synchronized swimming;(Harrastan) taitouintia.;ügyességi úszás
sukellus;diving;(Harrastan) sukellusta. (Harrastan) sukeltamista.;búvárkodás
snorklaus;snorkeling;(Harrastan) snorklausta. (Harrastan) snorklaamista.;Búvárkodás
räpyläuinti;fin swimming;(Harrastan) räpyläuintia. (Harrastan) sukeltamista;uszonyos úszás
vesipallo;water polo;(Harrastan) vesipalloa.;Vízilabda
surffaus;surfing;(Harrastan) surffausta. (Harrastan) surffaamista.;szörfözés
purjelautailu;windsurfing;(Harrastan) purjelautailua.;széllovaglás
veneily;boating;(Harrastan) veneilyä. (Harrastan) veneilemistä.;csónakázás
melonta;kayaking, canoeing;(Harrastan) melontaa. (Harrastan) melomista.;kenuzás
purjehdus;sailing;(Harrastan) purjehdusta. (Harrastan) purjehtimista.;vitorlázás
soutu;rowing;(Harrastan) soutua. (Harrastan) soutamista.;evezés
kilpaveneily;boat racing;(Harrastan) kilpaveneilyä.;versenyhajózás
koskenlasku;rafting;(Harrastan) koskenlaskua.;vadvizi evezés
vesihiihto;waterskiing;(Harrastan) vesihiihtoa.;vizisíelés
vesijuoksu;aqua jogging;(Harrastan) vesijuoksua.;vízfutás
hiihto;skiing;(Harrastan) hiihtoa. (Harrastan) hiihtämistä;síelés
ampumahiihto;biathlon;(Harrastan) ampumahiihtoa.;biatlon
alppihiihto;alpine skiing;(Harrastan) alppihiihtoa.;alpesi sízés
maastohiihto;cross-country skiing;(Harrastan) maastohiihtoa.;sífutás
mäkihyppy;ski jumping;(Harrastan) mäkihyppyä.;Síugrás
lumilautailu;snowboarding;(Harrastan) lumilautailua.;snowboardozás
rattikelkkailu;bobsled, bobsleigh;(Harrastan) rattikelkkailua.;szánkó
luistelu;ice skating;(Harrastan) luistelua. (Harrastan) luistelemista.;korcsolyázás
taitoluistelu;figure-skating;(Harrastan) taitoluistelua.;műkorcsolya
pikaluistelu;speed skating;(Harrastan) pikaluistelua.;gyorskorcsolya
curling;curling;(Harrastan) curlingia.;curling
jääpallo;bandy;(Harrastan) jääpalloa. (Harrastan) jääpalloilua.;görbe
jääkiekko;ice-hockey;(Harrastan) jääkiekkoa.;jéghoki
jäätanssi;ice dancing;(Harrastan) jäätanssia.;jégtánc
kelkkailu;bob sleighing;(Harrastan) kelkkailua.;Szánkózás
laskettelu;downhill skiing;(Harrastan) laskettelua.;lesiklás
pujottelu;slalom skiing;(Harrastan) pujottelua.;szlalom
golf;golf;(Harrastan) golfia.;golf
jalkapallo;soccer;(Harrastan) jalkapalloa.;futball
tennis;tennis;(Harrastan) tennistä.;tenisz
koripallo;basketball;(Harrastan) koripalloa.;kosárlabda
käsipallo;handball;(Harrastan) käsipalloa.;csapat kézilabda
pesäpallo;Finnish baseball;(Harrastan) pesäpalloa.;Finn baseball
baseball;baseball;(Harrastan) baseballia.;baseball
lentopallo;volleyball;(Harrastan) lentopalloa.;röplabda
rantalentopallo;beach volley;(Harrastan) rantalentopalloa.;strandröplabda
salibandy / sähly;floorball;(Harrastan) salibandyä. (Harrastan) sählyä.;floorball / sähli
sulkapallo;badminton;(Harrastan) sulkapalloa.;tollaslabda
pöytätennis, pingis;table tennis;(Harrastan) pöytätennistä. (Harrastan) pingistä.;asztalitenisz, pingpong
biljardi;billiards;(Harrastan) biljardia.;biliárd
petankki;petanque;(Harrastan) petankkia.;petanque
keilailu, keilaus;ten-pin bowling;(Harrastan) keilailua. (Harrastan) keilausta.;teke, teke
seinäpallo, squash, kössi;squash;(Harrastan) seinäpalloa. (Harrastan) squashia. (Harrastan) kössiä.;fallabda
kroketti;croquet;(Harrastan) krokettia.;krokett
kriketti;cricket;(Harrastan) krikettiä.;krikett
haavipallo;lacrosse;(Harrastan) haavipalloa.;lacrosse
rugby;rugby;(Harrastan) rugbya.;rögbi
amerikkalainen jalkapallo;American football;(Harrastan) amerikkalaista jalkapalloa.;amerikai foci
maahockey;field hockey;(Harrastan) maahockeyta.;jégkorong
jongleeraus;juggling;(Harrastan) jongleerausta.;zsonglőrködés
juoksu;running;(Harrastan) juoksua. (Harrastan) juoksemista.;futás
hölkkäys;Jogging;(Harrastan) hölkkäystä. (Harrastan) hölkkäämistä.;Kocogás
lenkkeily;jogging;(Harrastan) lenkkeilyä.;kocogás
maastojuoksu;cross country running;(Harrastan) maastojuoksua.;terepfutás
kestävyysjuoksu;long-distance running;(Harrastan) kestävyysjuoksua.;állóképességi futás
pikajuoksu;sprinting;(Harrastan) pikajuoksua.;sprintel
aitajuoksu;hurdling;(Harrastan) aitajuoksua.;akadályok
estejuoksu;steeplechase;(Harrastan) estejuoksua.;akadályverseny
kävely;walking;(Harrastan) kävelyä. (Harrastan) kävelemistä.;gyaloglás
sauvakävely;Nordic walking;(Harrastan) sauvakävelyä.;vesszőjárás
maratonit;marathons;(Harrastan) maratoneja.;maratonok
triatlonit;triathlons;(Harrastan) triatloneja.;triatlonok
tanssi;dance;(Harrastan) tanssia. (Harrastan) tanssimista.;tánc
paritanssi;partner dance;(Harrastan) paritanssia.;páros tánc
kilpatanssi;competitive dance;(Harrastan) kilpatanssia.;versenytánc
nykytanssi;contemporary dance;(Harrastan) nykytanssia.;Kortárs tánc
moderni tanssi;modern dance;(Harrastan) modernia tanssia. (Harrastan) modernia.;modern tánc
baletti;ballet;(Harrastan) balettia.;balett
lavatanssi;stage dance;(Harrastan) lavatanssia.;színpadi tánc
valssi;waltz;(Harrastan) valssia.;tekercs
tango;tango;(Harrastan) tangoa.;tangó
sambatanssi;samba dance;(Harrastan) sambatanssia. (Harrastan) sambaa.;szamba tánc
salsa-tanssi;salsa dance;(Harrastan) salsa-tanssia.;salsa tánc
flamenco;flamenco;(Harrastan) flamencoa.;flamenco
jazztanssi;jazz dance;(Harrastan) jazztanssia.;Jazz tánc
kansantanssi;folk dance;(Harrastan) kansantanssia.;népi tánc
steppi;tap dance;(Harrastan) steppiä.;sztepptánc
rivitanssi;line dance;(Harrastan) rivitanssia.;vonaltánc
showtanssi;show dance;(Harrastan) showtanssia.;show tánc
hiphop-tanssi;hip-hop dance;(Harrastan) hiphop-tanssia. (Harrastan) hiphopia.;hip hop tánc
break dance;break dance;(Harrastan) break dancea.;Break tánc
street-tanssi;street dance;(Harrastan) street-tanssia.;utcai tánc
zumba;zumba;(Harrastan) zumbaa.;Zumba
tankotanssi;dole dance;(Harrastan) tankotanssia.;rúdtánc
vatsatanssi;belly dance;(Harrastan) vatsatanssia.;hastánc
itämainen tanssi;Oriental dance;(Harrastan) itämaista tanssia.;Keleti tánc
intialainen tanssi;Indian dance;(Harrastan) intialaista tanssia.;indiai tánc
irlantilainen tanssi;Irish dance;(Harrastan) irlantilaista tanssia.;ír tánc
cheerleading;cheerleading;(Harrastan) cheerleadingia.;pompomlány
cheer-tanssi;cheer dance;(Harrastan) cheer-tanssia.;vidám tánc
ammunta;shooting;(Harrastan) ammuntaa.;lövés
jousiammunta;archery;(Harrastan) jousiammuntaa.;íjászat
keihäänheitto;javelin throwing;(Harrastan) keihäänheittoa.;gerely
kiekonheitto;discus throwing;(Harrastan) kiekonheittoa.;diszkoszvetés
moukarinheitto;hammer throwing;(Harrastan) moukarinheittoa.;dobás
kolmiloikka;triple jumping;(Harrastan) kolmiloikkaa.;hármasugrás
korkeushyppy;high jump;(Harrastan) korkeushyppyä.;magasugrás
kymmenottelu;decathlon;(Harrastan) kymmenottelua.;tízpróba
pituushyppy;long jumping;(Harrastan) pituushyppyä.;távolugrás
seiväshyppy;pole vaulting;(Harrastan) seiväshyppyä.;rúdugrás
lentäminen;flying;(Harrastan) lentämistä.;repülő
benjihyppy;bungee jumping;(Harrastan) benjihyppyä.;kötélugrás
varjoliito;paragliding;(Harrastan) varjoliitoa.;siklóernyőzés
riippuliito;hang gliding;(Harrastan) riippuliitoa.;siklórepülés
laskuvarjohyppy;skydiving;(Harrastan) laskuvarjohyppyä. (Harrastan) laskuvarjohyppäämistä.;ejtőernyőzés
taitolento;aerobatics;(Harrastan) taitolentoa.;műrepülés
skeittailu;skating;(Harrastan) skeittailua.;Gördeszkázás
rullalautailu;skateboarding;(Harrastan) rullaluistelua.;gördeszkázás
parkour;parkour;(Harrastan) parkouria.;parkour
kiipeily;climbing;(Harrastan) kiipeilyä. (Harrastan) kiipeämistä.;mászó
kalliokiipeily;rock climbing;(Harrastan) kalliokiipeilyä.;sziklamászás
boulderointi;bouldering;(Harrastan) boulderointia.;bouldering
jääkiipeily;ice climbing;(Harrastan) jääkiipeilyä.;jégmászás
kamppailulajit;martial arts;(Harrastan) kamppailulajeja.;küzdősportok
judo;judo;(Harrastan) judoa.;cselgáncs
jujutsu / jujitsu;jujutsu;(Harrastan) jujutsua / jujitsua.;jujutsu / jujitsu
taekwondo;taekwondo; (Harrastan) taekwondoa.;taekwondo
karate;karate;(Harrastan) karatea.;karate
nyrkkeily;boxing;(Harrastan) nyrkkeilyä.;boksz
potkunyrkkeily;kickboxing;(Harrastan) potkunyrkkeilyä.;kickbox
thainyrkkeily;Thai boxing;(Harrastan) thainyrkkeilyä.;thai boksz
paini;wrestling;(Harrastan) painia.;birkózás
vapaapaini;freestyle wrestling;(Harrastan) vapaapainia.;szabadfogású birkózás
sumopaini;sumo wrestling;(Harrastan) sumopainia.;szumó birkózás
miekkailu;fencing;(Harrastan) miekkailua.;vívás
kädenvääntö;arm wrestling;(Harrastan) kädenvääntöä.;Szkander
kuntosali;gym;(Harrastan) kuntosalia. (Harrastan) kuntosalilla käymistä.;tornaterem
kuntoharjoittelu;fitness training;(Harrastan) (lihas)kuntoharjoittelua.;fitnesz edzés
voimaharjoittelu;strength training;(Harrastan) (lihas)voimaharjoittelua.;erő edzés
kehonrakennus;bodybuilding;(Harrastan) kehonrakennusta.;testépítés
voimanosto;powerlifting;(Harrastan) voimanostoa.;erőemelés
painonnosto;weightlifting;(Harrastan) painonnostoa.;súlyemelés
ryhmäliikuntatunti;group exercise class;(Harrastan) ryhmäliikuntatunteja.;csoportos edzés óra
voimistelu;gymnastics;(Harrastan) voimistelua;gimnasztika
jumppa;aerobics;(Harrastan) jumppaa.;fizikai bunkók
bodypump;bodypump;(Harrastan) bodypumpia.;bodypump
spinning;spinning;(Harrastan) spinningiä.;fonás
pilates;pilates;(Harrastan) pilatesta.;pilates
jooga;yoga;(Harrastan) joogaa.;jóga
telttailu;camping;(Harrastan) telttailua.;kemping
ulkoilu;outdoor activities;(Harrastan) ulkoilua. (Harrastan) koiran kanssa ulkoilua.;szabadtéri kikapcsolódás
retkeily;backpacking;(Harrastan) retkeilyä.;kemping táskával
luontoretkeily;nature hiking;(Harrastan) luontoretkeilyä.;természeti kempingezés
vaellus;Hiking;(Harrastan) vaellusta. (Harrastan) vaeltamista.;túra
patikointi;hiking;(Harrastan) patikointia. (Harrastan) patikoimista.;túrázás
suunnistus;orienteering;(Harrastan) suunnistusta.;navigáció
geokätköily;geocaching;(Harrastan) geokätköilyä.;geocaching
kalastus;fishing;(Harrastan) kalastusta. (Harrastan) kalastamista.;halászat
onginta;angling;(Harrastan) ongintaa. (Harrastan) onkimista.;zsákbamacska
pilkintä;ice fishing;(Harrastan) pilkintää. (Harrastan) pilkkimistä.;Jégkorcsolyázás
perhokalastus;fly fishing;(Harrastan) perhokalastusta.;legyező horgászat
marjastus;berry picking;(Harrastan) marjastusta. (Harrastan) marjastamista.;bogyószedés
sienestys;mushroom picking;(Harrastan) sienestystä. (Harrastan) sienestämistä.;gombás fertőzés
poiminta;picking;(Harrastan) marjojen/sienien poimintaa.;felvenni
metsästys;hunting;(Harrastan) metsästystä. (Harrastan) metsästämistä.;vadászat
puutarhanhoito;gardening;(Harrastan) puutarhanhoitoa.;kertészkedés
luolatutkimus;caving;(Harrastan) luolatutkimusta.;barlangkutatás
kukkienasettelu;flower arranging;(Harrastan) kukkienasettelua.;virág elrendezés
luontokuvaus;nature photography;(Harrastan) luontokuvausta.;természetfotózás
opiskelu;studying;(Harrastan) opiskelua.;tanulmány
kielten opiskelu;studying languages;(Harrastan) kielten opiskelua.;nyelveket tanulni
astronomia;astronomy;(Harrastan) astronomiaa.;csillagászat
politiikka;politics;(Harrastan) politiikkaa.;irányelv
historiaa;history;(Harrastan) historiaa.;történelem
sukututkimus;genealogy;(Harrastan) sukututkimusta.;Genealógia
korttipelit;card games;(Harrastan) korttipelejä.;kártyajátékok
bridge;bridge;(Harrastan) bridgeä.;híd
go;go;Harrasta go:ta.;megy
pokeri;poker;(Harrastan) pokeria.;póker
lautapelit;boardgames;(Harrastan) lautapelejä;társasjátékok
scrabble;scrabble;(Harrastan) scrabblea.;firkál
shakki;chess;(Harrastan) shakkia.;sakk
backgammon;backgammon;(Harrastan) backgammonia.;backgammon
bingo;bingo;(Harrastan) bingoa.;Bingó
sanaristikot;crossword puzzles;(Harrastan) sanaristikoita.;keresztrejtvény
piilosanat;cryptic crosswords;(Harrastan) piilosanoja.;rejtett szavakat
palapelit;puzzles;(Harrastan) palapelejä.;rejtvények
sudoku;sudoku;(Harrastan) sudokuja. (Harrastan) sudokujen täyttämistä.;Sudoku
postimerkkeily;philately;(Harrastan) postimerkkeilyä.;bélyeggyűjtés
kivien keräily;rock collecting;(Harrastan) kivien keräilyä.;kövek gyűjtése
kolikoiden keräily;coin collecting;(Harrastan) kolikoiden keräilyä.;érmegyűjtés
pelien keräily;collecting games;(Harrastan) pelien keräilyä.;gyűjtőjátékok
pienoismallit;scale models;(Harrastan) pienoismallien tekoa. (Harrastan) pienoismallien rakentamista.;miniatűr modellek
lukeminen;reading;(Harrastan) lukemista.;olvasás
lehdet;magazines;(Harrastan) lehtien lukemista.;lombozat
sarjakuvat;comic books;(Harrastan) sarjakuvien lukemista.;képregények
äänikirjojen kuuntelu;listening to e-books;(Harrastan) äänikirjojen kuuntelua.;hangoskönyvek hallgatása
kirjallisuus;literature;(Harrastan) kirjallisuutta.;irodalom
tietokirjallisuus;non-fiction literature;(Harrastan) tietokirjallisuutta.;nem fikció
manga;manga;(Harrastan) mangaa. (Harrastan) mangan lukemista.;Manga
kirjoittaminen;writing;(Harrastan) kirjoittamista.;írás
luova kirjoittaminen;creative writing;(Harrastan) luovaa kirjoittamista.;kreatív írás
runous;poetry;(Harrastan) runoutta.;költészet
runojen kirjoittaminen;writing poetry;(Harrastan) runojen kirjoittamista.;verseket írni
fanifiktio;fanfiction;(Harrastan) fanifiktiota.;Rajongói fikció
kalligrafia;calligraphy;(Harrastan) kalligrafiaa.;kalligráfia
taide;art;(Harrastan) taidetta. (Harrastan) taiteen tekemistä ja katselemista.;Művészet
kuvataide;visual art;(Harrastan) kuvataidetta.;vizuális művészetek
piirtäminen;drawing;(Harrastan) piirtämistä.;rajz
kuvitus;illustration;(Harrastan) kuvitusta.;ábra
maalaus;painting;(Harrastan) maalausta. (Harrastan) maalaamista.;festmény
akvarellimaalaus;watercolor painting;(Harrastan) akvarellimaalausta.;akvarell festés
öljymaalaus;oil painting;(Harrastan) öljymaalausta.;olajfestmény
akryylimaalaus;acrylic painting;(Harrastan) akryylimaalausta.;akril festés
värittäminen;coloring;(Harrastan) värittämistä.;színezés
decoupage;decoupage;(Harrastan) decoupagea.;decoupage
skräppäys;scrapbooking;(Harrastan) skräppäystä.;tülekedés
askartelu;paper handicraft;(Harrastan) askartelua.;hobbi
origami;origami;(Harrastan) origamia.;origami
musiikki;music;(Harrastan) musiikkia.;zene
musiikin kuuntelu;listening to music;(Harrastan) musiikin kuuntelua. (Harrastan) musiikin kuuntelemista.;zenét hallgatni
musiikin soitto;playing music;(Harrastan) musiikin soittoa. (Harrastan) musiikin soittamista.;zenél
musiikin teko;making music;(Harrastan) musiikin tekoa.;zenélni
säveltäminen;composing;(Harrastan) säveltämistä.;komponálás
kitaransoitto;playing guitar;(Harrastan) kitaransoittoa. (Harrastan) kitaran soittamista.;gitározni
klarinetti;clarinet;(Harrastan) klarinetinsoittoa. (Harrastan) klarinetin soittamista.;klarinét
trumpetti;trumpet;(Harrastan) trumpetin soittoa. (Harrastan) trumpetin soittamista.;trombita
laulu;singing;(Harrastan) laulua. (Harrastan) laulamista.;dal
kuoro;choir;(Harrastan) kuoroa. (Harrastan) kuorossa laulamista.;kórus
keikoilla käyminen;going to gigs;(Harrastan) keikoilla käymistä.;koncertekre járni
karaoke;karaoke;(Harrastan) karaokea.;karaoke
käsityöt;handicraft;(Harrastan) käsitöitä.;iparművészet
ompelu;sewing;(Harrastan) ompelua. (Harrastan) ompelemista.;varrás
vaateompelu;sewing clothes;(Harrastan) vaateompelua.;Ruhák varrása
virkkaus;crocheting;(Harrastan) virkkausta. (Harrastan) virkkaamista.;horgolás
huovutus;felting;(Harrastan) huovutusta.;nemezelés
kutominen;weaving;(Harrastan) kudontaa. (Harrastan) kutomista.;szövés
neulonta;knitting;(Harrastan) neulontaa. (Harrastan) neulomista.;kötés
matonkudonta;rug making;(Harrastan) matonkudontaa.;szőnyegszövés
kirjonta;embroidery;(Harrastan) kirjontaa.;hímzés
ristipistotyöt;cross-stitch;(Harrastan) ristipistotöitä.;keresztszemes hímzés
pitsinnypläys;lace making;(Harrastan) pitsinnypläystä.;csipkecsomózás
puutyöt;woodworking;(Harrastan) puutöitä.;famunka
metallityöt;metalwork;(Harrastan) metallitöitä.;fém munka
taonta;forging;(Harrastan) taontaa.;kovácsolás
puunveisto;wood carving;(Harrastan) puunveistoa.;Fafaragás
nahkatyöt;leatherwork;(Harrastan) nahkatöitä.;bőrmunka
nikkarointi;DIY;(Harrastan) nikkarointia.;Szundi
rakentaminen;building;(Harrastan) huonekalujen rakentamista.;Építkezés
kunnostus;repairing;(Harrastan) huonekalujen kunnostamista.;javítás
entisöinti;restoration;(Harrastan) huonekalujen entisöintiä.;felújítás
remontointi;renovation;(Harrastan) remontointia. (Harrastan) remontoimista.;felújítása
keramiikka;pottery;(Harrastan) keramiikkaa.;kerámia
kuvanveisto;sculpting;(Harrastan) kuvanveistoa.;szobor
lasinpuhallus;glassblowing;(Harrastan) lasinpuhallusta.;üveg fújás
ruoanlaitto;cooking;(Harrastan) ruoanlaittoa. (Harrastan) hyvän ruoan laittamista.;főzés
leivonta;baking;(Harrastan) leivontaa. (Harrastan) leipomista.;sütés
hyvä ruoka;good food;(Harrastan) hyvää ruokaa. (Harrastan) hyvä ruoan syömistä.;jó étel
ruokakurssi;cooking course;(Harrastan) ruokakursseilla käyntiä.;étkezési tanfolyam
viini;wine;(Harrastan) viinejä.;bor
viininmaistelu;wine tasting;(Harrastan) viininmaistelua.;borkóstolás
olut;beer;(Harrastan) oluita.;sör
oluenmaistelu;beer tasting;(Harrastan) oluenmaistelua.;sörkóstoló
ravintola;restaurant;(Harrastan) ravintolassa käymistä.;étterem
television katsominen;watching television;(Harrastan) television katsomista.;tévénézés
elokuvat;movies;(Harrastan) elokuvia.;filmeket
elokuvien katselu;watching movies;(Harrastan) elokuvien katselua. (Harrastan) elokuvien katsomista.;filmnézés
elokuvissa käyminen;going to the movies;(Harrastan) elokuvissa käymistä.;moziba menni
anime;anime;(Harrastan) animea. (Harrastan) animen katsomista.;anime
animaatio;animation;(Harrastan) animaatiota.;élénk
Pokémon Go;Pokémon Go;(Harrastan) Pokémon Go:ta.;Pokémon Go
tietotekniikka;IT;(Harrastan) tietotekniikkaa.;információs technológia
tietokoneet;computers;(Harrastan) tietokoneita.;számítógépek
koodaaminen;coding;(Harrastan) koodaamista.;kódolás
surffailu;Surfing;(Harrastan) netissä surffailua.;Szörfözés
bloggaus;blogging;(Harrastan) bloggausta. (Harrastan) blogin kirjoittamista.;blogolás
striimaus;streaming;(Harrastan) striimausta.;folyó
YouTube;YouTube;(Harrastan) YouTubea.;Youtube
valokuvaus;photography;(Harrastan) valokuvausta. (Harrastan) valokuvaamista.;fényképezés
kuvankäsittely;image processing;(Harrastan) kuvankäsittelyä.;grafika
videokuvaus;video recording;(Harrastan) videokuvausta.;videó felvétel
videoeditointi;video editing;(Harrastan) videoeditointia.;videó szerkesztés
3D-mallinnus;3D modeling;(Harrastan) 3D-mallinnusta.;3D modellezés
graafinen suunnittelu;graphic design;(Harrastan) graafista suunnittelua.;grafikai tervezés
tietokonepelit;computer games;(Harrastan) tietokonepelejä. (Harrastan) tietokonepelien pelaamista.;számítógépes játékok
konsolipelit;console games;(Harrastan) konsolipelejä.;Konzolos játékok
mobiilipelit;mobile games;(Harrastan) mobiilipelejä.;mobil játékok
videopelit;video games;(Harrastan) videopelejä.;videójátékok
FPS-pelit;FPS games;(Harrastan) FPS-pelejä.;FPS játékok
rpg-pelit;RPG games;(Harrastan) rpg-pelejä;RPG játékok
open world-pelit;open world games;(Harrastan) open world -pelejä.;nyílt világú játékok
e-urheilu;e-sports;(Harrastan) e-urheilua.;e-sport
hevoset;horses;(Harrastan) hevosia.;lóhús
ratsastus;horse riding;(Harrastan) ratsastusta.;lovaglás
hevosurheilu;equestrian sports;(Harrastan) hevosurheilua.;Lóverseny
laukkaurheilu;horse racing;(Harrastan) laukkaurheilua.;vágtázó sport
hevosravit;harness racing;(Harrastan) hervosraveja.;ló ügetés
esteratsastus;show jumping;(Harrastan) esteratsastusta.;hó ugrás
kouluratsastus;dressage;(Harrastan) kouluratsastusta.;idomítás
hevospoolo;polo;(Harrastan) (hevos)pooloa.;lópóló
mehiläishoito;beekeeping;(Harrastan) mehiläishoitoa.;méhkultúra
koiranäyttely;dog shows;(Harrastan) koiranäyttelyitä.;kutya show
agility;dog agility;(Harrastan) agilityä.;agilitás
lintubongaus;bird watching;(Harrastan) lintubongausta.;madárles
lemmikkien hoitaminen;taking care of pets;(Harrastan) lemmikkien hoitamista.;háziállatok gondozása
autot;cars;(Harrastan) autoja.;autós medence
autojen rakentelu;building cars;(Harrastan) autojen rakentelua. (Harrastan) autojen rakentamista.;autógyártás
autojen korjaaminen;fixing cars;(Harrastan) autojen korjaamista.;autók javítása
autojen kunnostus;car restoration;(Harrastan) autojen kunnostusta.;autó helyreállítása
vanha auto;old cars;(Harrastan) vanhoja autoja.;régi autó
autoilu;driving;(Harrastan) autoilua.;vezetés
autourheilu;motor sport;(Harrastan) autourheilua.;Autó verseny
ralliautoilu;rallying;(Harrastan) ralliautoilua.;Rally autóverseny
kilpa-autoilu;car racing;(Harrastan) kilpa-autoilua.;versenyautók
rata-autoilu;racetrack driving;(Harrastan) rata-autoilua.;pálya vezetés
moottoripyöräily;motorcycling;(Harrastan) moottoripyöräilyä.;motorozás
moottoriurheilu;motor sports;(Harrastan) moottoriurheilua.;motorsportok
motocross;motocross;(Harrastan) motocrossia.;motocross
pyöräily;cycling;(Harrastan) pyöräilyä. (Harrastan) pyöräilemistä.;kerékpározás
maastopyöräily;mountain biking;(Harrastan) maastopyöräilyä.;hegyi kerékpározás
BMX-pyöräily;BMX;(Harrastan) BMX-pyöräilyä.;BMX kerékpározás
kilpapyöräily;cycle sport;(Harrastan) kilpapyöräilyä.;versenykerékpározás
karting;carting;(Harrastan) kartingia.;gokartozás
shoppailu;shopping;(Harrastan) shoppailua.;bevásárlás
ikkunashoppailu;window shopping;(Harrastan) ikkunashoppailua.;kirakatot nézni, vásárlási szándék nélül
kirpputori;flea market;(Harrastan) kirpputoreja. (Harrastan) kirpputoreilla käyntiä.;Bolhapiac
matkailu;traveling;(Harrastan) matkailua. (Harrastan) matkustamista.;idegenforgalom
matkailuautoilua;motorhome travel;(Harrastan) matkailuautoilua.;RVing
kulttuurimatkailua;cultural tourism;(Harrastan) kulttuurimatkailua.;kulturális turizmus
sisustus;interior design;(Harrastan) sisustusta.;dekoráció
muoti;fashion;(Harrastan) muotia.;divat
partio;scouting;(Harrastan) partiota.;járőr
hyväntekeväisyys;charity;(Harrastan) hyväntekeväisyyttä.;adomány
vapaaehtoistyö;volunteering;(Harrastan) vapaaehtoistyötä.;önkéntes munka
bilettäminen;partying;(Harrastan) bilettämistä.;bulizás
hengailu;hanging out;(Harrastan) kavereiden kanssa hengailua.;kikapcsolódni
saunominen;taking a sauna;(Harrastan) saunomista;szauna
teatteri;theatre;(Harrastan) teatteria.;színház
teatterissa käynti;going to the theatre;(Harrastan) teatterissa käyntiä. (Harrastan) teatterissa käymistä.;színházba menni
näytteleminen;acting;(Harrastan) näyttelemistä. (Harrastan) teatterissa näyttelemistä.;ható
